25.093513,19.724871,15.647290,13.659204,11.569492,5.838862,4.209419,1.417559,1.374053,1.344030,1.311625
36.010659,27.168598,23.899512,20.046961,16.000795,5.392686,3.913679,1.561257,1.511643,1.475944,1.450599
45.503684,35.403888,31.308645,27.235817,23.193831,6.429237,4.568755,1.647852,1.614657,1.581357,1.558529
56.482924,46.700612,39.403120,33.355032,28.934730,5.885898,4.327985,1.757028,1.723836,1.687789,1.659871
62.709603,54.163478,47.331028,40.867471,36.635526,5.874224,4.479871,1.837245,1.801176,1.772101,1.740946
80.254461,62.247595,54.826112,47.060766,40.456757,5.440495,4.145814,1.929844,1.875500,1.847307,1.815299
86.875355,72.684708,62.233937,54.766469,47.700142,6.159346,4.902611,2.001447,1.968009,1.936466,1.901075
94.726113,81.315774,68.152244,63.085630,55.096778,6.073041,4.619064,2.094381,2.050963,2.018124,1.979910
109.666638,89.624660,79.254452,70.157889,61.767452,6.483413,4.947279,2.154770,2.114601,2.078317,2.059002
115.551385,96.883031,84.416157,75.159539,67.473295,5.863756,4.730153,2.238423,2.193845,2.159206,2.123041
126.233202,105.350960,90.649490,83.539346,74.774538,6.421674,5.039985,2.290006,2.265385,2.226106,2.200973
135.574183,115.941582,102.305123,89.643909,79.103995,6.035267,4.913438,2.371996,2.329760,2.286417,2.254501
149.870997,123.636951,106.804821,94.941316,83.952805,6.506403,5.025357,2.442525,2.393640,2.357317,2.332395
163.973569,128.554317,112.161510,103.473282,90.190356,6.025473,4.916113,2.481347,2.440703,2.413486,2.387870
167.873808,138.840548,120.827235,108.861015,97.054767,6.200152,5.083028,2.557194,2.517732,2.490225,2.449418
