ticker_id,cluster
0,23
1,12
2,4
3,15
4,8
5,13
6,16
7,28
8,5
9,11
10,6
11,7
12,8
13,15
14,2
15,23
16,13
17,8
18,26
19,27
20,26
21,26
22,26
23,25
24,27
25,19
26,20
27,12
28,20
29,28
30,27
31,15
32,25
33,26
34,3
35,4
36,15
37,4
38,12
39,12
40,12
41,31
42,12
43,7
44,6
45,5
46,20
47,8
48,11
49,13
50,27
51,13
52,22
53,23
54,24
55,27
56,4
57,15
58,10
59,28
60,16
61,16
62,29
63,15
64,5
65,17
66,13
67,24
68,31
69,20
70,2
71,31
72,24
73,13
74,4
75,20
76,3
77,12
78,13
79,14
80,25
81,22
82,11
83,22
84,27
85,24
86,1
87,15
88,28
89,11
90,8
91,13
92,25
93,20
94,17
95,8
96,12
97,11
98,13
99,30
100,24
101,16
102,8
103,19
104,18
105,3
106,12
107,5
108,26
109,20
110,23
111,17
112,16
113,30
114,10
115,25
116,19
117,15
118,30
119,15
120,13
121,29
122,8
123,0
124,16
125,24
126,8
127,11
128,25
129,13
130,8
131,14
132,31
133,10
134,13
135,12
136,13
137,18
138,7
139,7
140,23
141,7
142,26
143,23
144,4
145,18
146,25
147,27
148,16
149,31
150,28
151,3
152,15
153,11
154,16
155,2
156,31
157,8
158,31
159,8
160,15
161,16
162,3
163,25
164,12
165,13
166,14
167,24
168,5
169,16
170,11
171,3
172,23
173,25
174,13
175,22
176,14
177,23
178,29
179,17
180,14
181,8
182,20
183,31
184,8
185,26
186,11
187,14
188,16
189,4
190,9
191,5
192,5
193,10
194,4
195,18
196,23
197,12
198,19
199,31
200,19
201,23
202,31
203,31
204,5
205,22
206,16
207,4
208,24
209,11
210,25
211,30
212,12
213,3
214,26
215,20
216,28
217,19
218,13
219,16
220,2
221,31
222,10
223,31
224,7
225,1
226,10
227,24
228,23
229,31
230,23
231,12
232,11
233,4
234,4
235,6
236,12
237,16
238,16
239,28
240,0
241,22
242,12
243,4
244,8
245,4
246,13
247,5
248,11
249,12
250,14
251,24
252,20
253,16
254,22
255,13
256,4
257,2
258,3
259,5
260,19
261,3
262,20
263,16
264,13
265,10
266,16
267,29
268,15
269,12
270,16
271,29
272,21
273,16
274,4
275,21
276,25
277,10
278,12
279,24
280,20
281,14
282,7
283,25
284,3
285,19
286,4
287,28
288,4
289,30
290,30
291,18
292,8
293,11
294,22
295,20
296,23
297,15
298,26
299,3
300,5
301,30
302,19
303,6
304,22
305,3
306,7
307,11
308,11
309,16
310,19
311,16
312,8
313,2
314,16
315,23
316,16
317,31
318,11
319,17
320,8
321,13
322,24
323,13
324,13
325,22
326,19
327,16
328,4
329,8
330,1
331,16
332,8
333,7
334,13
335,17
336,3
337,13
338,11
339,16
340,3
341,23
342,25
343,20
344,12
345,25
346,16
347,30
348,19
349,12
350,24
351,31
352,22
353,13
354,3
355,5
356,18
357,11
358,4
359,10
360,12
361,26
362,8
363,23
364,17
365,1
366,16
367,23
368,4
369,24
370,16
371,12
372,16
373,16
374,16
375,19
376,19
377,20
378,28
379,24
380,18
381,19
382,6
383,24
384,14
385,3
386,28
387,24
388,0
389,15
390,22
391,13
392,17
393,10
394,20
395,0
396,2
397,17
398,9
399,25
400,13
401,0
402,22
403,16
404,30
405,11
406,16
407,31
408,7
409,3
410,27
411,12
412,19
413,19
414,24
415,7
416,19
417,21
418,16
419,4
420,20
421,24
422,4
423,29
424,7
425,17
426,24
427,25
428,5
429,23
