ticker
ANTM
CTL
HOG
CMCSA
TWTR
PVH
NOV
AAP
COG
EBAY
LMT
TGT
KSU
TEL
CI
HII
FB
LLY
IPGP
MKTX
XOM
ALB
FCX
HFC
XLE
HAL
RL
FISV
EQIX
MTD
TIF
MAR
TSCO
AXP
CDW
CAT
O
AMAT
MXIM
SWK
MGM
MLM
PCAR
NVDA
FLT
BBY
OKE
EOG
TXT
MNST
APH
IDXX
KMI
DISCA
HAS
CHD
GIS
HIG
INTU
ALGN
SEE
WFC
CCL
DGX
FOX
LVS
V
WMB
ABMD
MDT
PRU
GPN
BLL
DIS
UA
DLTR
VZ
FFIV
GPC
PLD
BA
DTE
EXR
ADP
SHW
ADS
CNC
PGR
NEE
AOS
PWR
GWW
HCA
IR
GPS
SBUX
CINF
CERN
XRX
L
WHR
GILD
DAL
PAYX
FE
ARE
GE
YUM
ABBV
ALK
JPM
UDR
LH
CF
CVX
TRIP
MDLZ
EMN
AMT
CCI
EIX
ZION
IVZ
KR
PM
D
UNM
PKI
TDG
NWL
DD
STT
VFC
GLW
DFS
AGN
EFX
PEG
BAC
RE
VRSN
WM
HD
PHM
K
LEN
SLB
MKC
CSX
ETFC
USB
XEL
UTX
MPC
GOOG
WAT
AIV
CSCO
CTSH
A
CHTR
RMD
FTI
PKG
FDX
WY
KHC
CNP
ED
FRT
OXY
MMM
UPS
RF
LB
BRK.B
MO
EXC
FTNT
EL
JCI
EXPD
ETR
INCY
APD
JNPR
HLT
XLB
INTC
BIIB
ICE
XLU
APA
HP
NTRS
DE
XLF
XLV
VMC
CME
ORCL
TXN
SYK
XLK
AKAM
HES
HRL
FMC
HRB
JWN
LRCX
TROW
PSA
NBL
AVY
AWK
AZO
VRTX
ALL
ALXN
VTR
XLY
MTB
NTAP
M
SNPS
KEY
WU
XLI
ACN
STZ
AIZ
AMD
F
GM
CAG
IP
PNR
COO
ROP
ZTS
XLP
HBI
GRMN
CTAS
UNP
MYL
DVN
COST
CMG
PNW
TJX
AME
ADM
CLX
MCK
STX
FIS
EQR
XEC
XLNX
IYR
EMR
CVS
NOC
HBAN
ULTA
NUE
BWA
KMX
HON
WYNN
URI
ADBE
ISRG
CXO
SCHW
MCHP
MMC
CBOE
DOW
PPL
LDOS
PPG
ES
AIG
CHRW
MOS
LUV
MA
CMS
AEP
WBA
MS
VRSK
NSC
ROK
KO
FLS
GOOGL
MRO
PXD
SO
FANG
PFE
DHI
KLAC
ABC
DVA
BMY
ORLY
BAX
NRG
RTN
AMGN
MSFT
SWKS
ROST
PSX
LYB
PBCT
EW
MET
HUM
IRM
ABT
ATVI
NFLX
AMZN
NKE
IBM
KSS
HSIC
AVB
AJG
RCL
TMO
PEP
BEN
EA
CPRT
TTWO
AAL
COF
MCD
LNT
WMT
CTXS
CL
CAH
HST
UAL
GS
CRM
FOXA
QRVO
ROL
LNC
PRGO
COP
ANET
KMB
FAST
LKQ
RHI
BSX
PG
WCG
DRE
HSY
EXPE
HPQ
AVGO
FBHS
SYF
T
ADSK
NDAQ
ILMN
IFF
SNA
BK
PYPL
C
REGN
DG
NOW
AEE
KIM
DHR
UHS
DISCK
BDX
DOV
MRK
DISH
ETN
PNC
ECL
JNJ
AES
AFL
DUK
FITB
PH
SYY
GD
WDC
TSN
QCOM
HPE
LOW
DRI
BLK
NLSN
MHK
MAS
MSI
CMI
RSG
ZBH
TRV
TMUS
AAPL
MU
NVR
DLR
NEM
UNH
NWSA
