ticker_id,cluster
0,11
1,18
2,6
3,17
4,27
5,9
6,17
7,27
8,27
9,16
10,26
11,24
12,3
13,10
14,2
15,11
16,9
17,17
18,5
19,21
20,24
21,5
22,5
23,3
24,13
25,17
26,26
27,3
28,20
29,3
30,13
31,13
32,19
33,20
34,3
35,16
36,8
37,10
38,13
39,3
40,17
41,17
42,18
43,18
44,12
45,5
46,21
47,17
48,12
49,27
50,16
51,21
52,26
53,14
54,19
55,13
56,27
57,8
58,15
59,10
60,10
61,26
62,17
63,1
64,5
65,21
66,26
67,19
68,13
69,6
70,10
71,3
72,3
73,12
74,3
75,20
76,25
77,16
78,12
79,4
80,24
81,26
82,21
83,26
84,10
85,24
86,17
87,17
88,8
89,3
90,3
91,10
92,19
93,13
94,13
95,3
96,16
97,3
98,16
99,4
100,25
101,10
102,12
103,24
104,15
105,3
106,20
107,24
108,5
109,23
110,26
111,27
112,27
113,26
114,19
115,22
116,18
117,19
118,10
119,17
120,2
121,10
122,10
123,26
124,20
125,19
126,21
127,3
128,24
129,11
130,20
131,4
132,13
133,15
134,18
135,3
136,16
137,15
138,18
139,15
140,14
141,7
142,5
143,26
144,3
145,24
146,7
147,4
148,20
149,3
150,14
151,25
152,7
153,16
154,3
155,26
156,3
157,9
158,5
159,20
160,17
161,13
162,25
163,1
164,17
165,11
166,14
167,21
168,5
169,9
170,27
171,17
172,26
173,7
174,6
175,14
176,4
177,6
178,27
179,17
180,11
181,27
182,27
183,17
184,10
185,17
186,27
187,13
188,0
189,17
190,14
191,5
192,5
193,19
194,17
195,15
196,14
197,3
198,3
199,27
200,10
201,26
202,16
203,17
204,5
205,26
206,10
207,18
208,3
209,10
210,19
211,26
212,3
213,25
214,5
215,2
216,10
217,17
218,19
219,13
220,1
221,18
222,24
223,3
224,24
225,13
226,7
227,10
228,10
229,3
230,20
231,0
232,17
233,24
234,24
235,20
236,21
237,13
238,12
239,20
240,14
241,26
242,3
243,3
244,13
245,27
246,10
247,5
248,0
249,17
250,14
251,18
252,16
253,9
254,14
255,26
256,10
257,20
258,25
259,9
260,10
261,25
262,20
263,26
264,26
265,7
266,27
267,16
268,17
269,16
270,3
271,16
272,17
273,10
274,16
275,24
276,15
277,19
278,7
279,16
280,24
281,10
282,14
283,27
284,19
285,25
286,13
287,24
288,18
289,24
290,14
291,14
292,15
293,13
294,10
295,2
296,27
297,14
298,10
299,5
300,1
301,23
302,4
303,22
304,8
305,11
306,25
307,24
308,16
309,20
310,13
311,1
312,11
313,13
314,11
315,22
316,26
317,26
318,26
319,17
320,24
321,1
322,22
323,19
324,11
325,16
326,26
327,3
328,27
329,17
330,10
331,13
332,27
333,27
334,3
335,13
336,19
337,25
338,3
339,6
340,26
341,3
342,14
343,19
344,13
345,21
346,15
347,26
348,4
349,1
350,18
351,27
352,21
353,14
354,20
355,25
356,10
357,15
358,27
359,21
360,1
361,16
362,5
363,26
364,21
365,1
366,20
367,14
368,10
369,25
370,11
371,3
372,16
373,9
374,16
375,3
376,27
377,23
378,20
379,19
380,15
381,21
382,28
383,28
384,14
385,25
386,0
387,0
388,11
389,21
390,10
391,27
392,23
393,19
394,20
395,14
396,11
397,17
398,4
399,7
400,3
401,20
402,20
403,26
404,4
405,10
406,3
407,3
408,3
409,25
410,18
411,18
412,3
413,17
414,21
415,3
416,8
417,1
418,3
419,18
420,3
421,24
422,3
423,1
424,1
425,1
426,15
427,27
428,14
