1.000000,0.799551,0.082245,0.078965,0.070867,0.068847,0.063164,0.060484,0.053901,0.051719,0.047469,0.045074,0.042272,0.039103,0.034651,0.030779,0.028745,0.025623,0.021678,0.020304,0.019045
1.000000,0.796642,0.069573,0.065335,0.060844,0.058084,0.055055,0.052972,0.050826,0.049088,0.046231,0.044075,0.041765,0.039080,0.038322,0.036621,0.035765,0.033375,0.031920,0.030925,0.029444
1.000000,0.801711,0.058460,0.056463,0.053154,0.051320,0.050516,0.049653,0.047127,0.045146,0.043927,0.043072,0.041186,0.039458,0.038975,0.037353,0.036567,0.035099,0.034833,0.033451,0.032746
1.000000,0.797664,0.053313,0.052204,0.048604,0.047218,0.045942,0.045522,0.043414,0.042451,0.041229,0.039760,0.038843,0.038159,0.037347,0.036065,0.035544,0.034422,0.033803,0.032767,0.031679
1.000000,0.799848,0.049575,0.046941,0.044636,0.043984,0.042319,0.041359,0.040415,0.039720,0.038795,0.038266,0.037579,0.037005,0.036248,0.035197,0.034607,0.033861,0.033482,0.032233,0.032078
1.000000,0.799790,0.044781,0.043811,0.042371,0.041761,0.040743,0.039526,0.038966,0.038278,0.037435,0.036646,0.035802,0.035358,0.034910,0.034287,0.033484,0.032701,0.032235,0.031888,0.031043
1.000000,0.799132,0.042486,0.041115,0.040079,0.038689,0.038183,0.036893,0.036640,0.035766,0.035378,0.034535,0.034059,0.033128,0.032571,0.032411,0.031776,0.031590,0.031150,0.030835,0.030082
1.000000,0.799921,0.040369,0.038651,0.037808,0.037001,0.036366,0.035642,0.035318,0.034838,0.034477,0.034049,0.033552,0.032559,0.032377,0.031833,0.031750,0.031008,0.030840,0.030261,0.030065
1.000000,0.799782,0.038105,0.037207,0.036502,0.035206,0.035060,0.034194,0.033702,0.033148,0.033018,0.032503,0.032256,0.031696,0.031334,0.030886,0.030553,0.030093,0.029798,0.029574,0.029283
1.000000,0.800337,0.035989,0.035471,0.034441,0.034082,0.033523,0.033351,0.032578,0.032063,0.031451,0.030975,0.030584,0.030422,0.029788,0.029637,0.029309,0.029151,0.028923,0.028345,0.027695
1.000000,0.801123,0.035646,0.033902,0.033188,0.032445,0.031777,0.031545,0.031033,0.030743,0.030529,0.030192,0.029833,0.029095,0.028669,0.028518,0.028311,0.027603,0.027360,0.027310,0.027056
1.000000,0.801422,0.033408,0.033263,0.032023,0.031605,0.031015,0.030940,0.030447,0.030225,0.029434,0.029325,0.029005,0.028633,0.028287,0.028111,0.027816,0.027613,0.027277,0.026775,0.026569
1.000000,0.799036,0.032288,0.031496,0.030847,0.030573,0.030078,0.029578,0.029314,0.028994,0.028726,0.028270,0.028096,0.027859,0.027805,0.027215,0.027011,0.026646,0.026575,0.026362,0.026196
1.000000,0.799629,0.030914,0.030325,0.029701,0.029393,0.029213,0.028733,0.028480,0.028135,0.027872,0.027366,0.026928,0.026670,0.026506,0.026351,0.026006,0.025839,0.025661,0.025519,0.025275
1.000000,0.800093,0.030273,0.029671,0.028850,0.028713,0.028066,0.027883,0.027492,0.027305,0.027006,0.026906,0.026646,0.026397,0.026135,0.025922,0.025705,0.025647,0.025383,0.025355,0.025124
